project_name,community,year,GF,RF,GT,GF_plus_RF_minus_GT,abs_diff,old_rule_pass,income_field_missing,formula
Azizi Riviera 1,Meydan,2026,18.49,1.12,19.61,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Azizi Riviera 10,Meydan,2026,20.63,1.0,21.63,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Azizi Riviera 11,Meydan,2026,19.24,1.0,20.24,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Azizi Riviera 12,Meydan,2026,19.67,1.0,20.67,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Azizi Riviera 13,Meydan,2026,18.35,1.0,19.35,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Azizi Riviera 2,Meydan,2026,21.74,1.0,22.74,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Azizi Riviera 30,Meydan,2026,21.89,1.0,22.89,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Azizi Riviera 4,Meydan,2026,20.0,1.0,21.0,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Azizi Riviera 7,Meydan,2026,19.36,1.0,20.36,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Azizi Riviera 8,Meydan,2026,20.47,1.06,21.53,-3.552713678800501e-15,3.552713678800501e-15,True,True,GT = GF + RF - income (income not in CSV)
BADRA PHASE 1,Dubai Water Front,2026,13.83,2.29,16.12,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
BAHWAN TOWER ,Burj Khalifa District,2026,17.54,3.98,21.3,0.21999999999999886,0.21999999999999886,False,True,GT = GF + RF - income (income not in CSV)
BAYSIDE RESIDENCE,Dubai Marina,2026,16.37,0.48,16.74,0.11000000000000298,0.11000000000000298,False,True,GT = GF + RF - income (income not in CSV)
BELLA ROSE,Dubai Science Park,2026,14.39,2.52,16.61,0.3000000000000007,0.3000000000000007,False,True,GT = GF + RF - income (income not in CSV)
BELLEVUE TOWERS,Burj Khalifa District,2026,22.03,2.05,23.96,0.120000000000001,0.120000000000001,False,True,GT = GF + RF - income (income not in CSV)
BERMUDA VIEWS,Dubai Sports City,2026,13.65,0.48,13.93,0.20000000000000107,0.20000000000000107,False,True,GT = GF + RF - income (income not in CSV)
BLOOMINGDALE,Dubai Sports City,2026,7.11,0.17,7.27,0.010000000000000675,0.010000000000000675,False,True,GT = GF + RF - income (income not in CSV)
BRIGHT CORNER,Meydan,2026,17.62,2.05,19.67,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
BURJ VISTA,DownTown Dubai,2026,16.29,2.44,18.42,0.3099999999999987,0.3099999999999987,False,True,GT = GF + RF - income (income not in CSV)
BV Mansions ,Jumeira Bay,2026,8.22,0.45,8.67,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
BV RESIDENCES,Jumeira Bay,2026,49.55,4.76,54.03,0.27999999999999403,0.27999999999999403,False,True,GT = GF + RF - income (income not in CSV)
Bluewaters Residences ,Bluewaters Island,2026,26.3,2.37,28.47,0.20000000000000284,0.20000000000000284,False,True,GT = GF + RF - income (income not in CSV)
Boulevard Point,DownTown Dubai,2026,19.88,2.96,22.49,0.3500000000000014,0.3500000000000014,False,True,GT = GF + RF - income (income not in CSV)
CANAL RESIDENCE WEST (PHASE 1),Dubai Sports City,2026,13.34,0.76,13.92,0.17999999999999972,0.17999999999999972,False,True,GT = GF + RF - income (income not in CSV)
CENTURION RESIDENCE,Dubai Investment Park,2026,10.13,1.85,11.88,0.09999999999999964,0.09999999999999964,False,True,GT = GF + RF - income (income not in CSV)
CHAMPIONS TOWER1,Dubai Sports City,2026,15.33,0.79,15.87,0.2500000000000018,0.2500000000000018,False,True,GT = GF + RF - income (income not in CSV)
CLARET @ AKOYA OXYGEN,Dubai Land,2026,4.95,0.35,5.25,0.04999999999999982,0.04999999999999982,False,True,GT = GF + RF - income (income not in CSV)
CLASSIC APARTMENTS,International City,2018,10.31,0.0,10.31,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
CLUB VILLAS,Dubai Hills Estate,2026,6.09,0.48,6.56,0.010000000000000675,0.010000000000000675,False,True,GT = GF + RF - income (income not in CSV)
CORAL RESIDENCE,Silicon Oasis,2026,13.16,1.04,13.93,0.2699999999999996,0.2699999999999996,False,True,GT = GF + RF - income (income not in CSV)
CREEK HEIGHTS,Dubai Health Care City Phase 1,2026,30.36,0.76,30.55,0.5700000000000003,0.5700000000000003,False,True,GT = GF + RF - income (income not in CSV)
CREEK HORIZON,Dubai Creek Harbour,2026,16.69,1.08,17.62,0.15000000000000213,0.15000000000000213,False,True,GT = GF + RF - income (income not in CSV)
CREEKSIDE 18,Dubai Creek Harbour,2026,19.25,1.13,20.27,0.10999999999999943,0.10999999999999943,False,True,GT = GF + RF - income (income not in CSV)
CRICKET TOWER,Dubai Sports City,2026,16.95,1.45,18.4,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
CRYSTAL TOWER,Silicon Oasis,2026,10.09,2.01,12.1,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Canal Residence West 2,Dubai Sports City,2026,14.99,1.21,16.08,0.120000000000001,0.120000000000001,False,True,GT = GF + RF - income (income not in CSV)
Collective,Dubai Hills Estate,2026,21.69,3.14,24.59,0.240000000000002,0.240000000000002,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - ALBIZIA ,Dubai Land,2026,4.12,0.14,4.24,0.019999999999999574,0.019999999999999574,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - AMARGO ,Dubai Land,2026,4.47,0.26,4.7,0.02999999999999936,0.02999999999999936,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - AQUILEGIA ,Dubai Land,2026,0.24,0.02,0.26,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - ASTER ,Dubai Land,2026,5.24,0.34,5.56,0.020000000000000462,0.020000000000000462,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - AVENCIA ,Dubai Land,2026,7.13,0.32,7.39,0.0600000000000005,0.0600000000000005,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - AVENCIA-2 ,Dubai Land,2026,1.02,0.25,1.26,0.010000000000000009,0.010000000000000009,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - BASSWOOD ,Dubai Land,2026,4.4,0.15,4.52,0.030000000000001137,0.030000000000001137,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - CENTAURY ,Dubai Land,2026,4.36,0.22,4.56,0.020000000000000462,0.020000000000000462,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - COURSETIA ,Dubai Land,2026,5.89,0.39,6.25,0.02999999999999936,0.02999999999999936,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - JANUSIA ,Dubai Land,2026,4.58,0.44,5.0,0.020000000000000462,0.020000000000000462,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - MIMOSA ,Dubai Land,2026,4.45,0.18,4.6,0.03000000000000025,0.03000000000000025,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - MULBERRY ,Dubai Land,2026,0.23,0.02,0.24,0.010000000000000009,0.010000000000000009,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - ODORA ,Dubai Land,2026,0.33,0.03,0.36,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - PACIFICA ,Dubai Land,2026,3.98,0.24,4.17,0.04999999999999982,0.04999999999999982,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - SYCAMORE ,Dubai Land,2026,0.81,0.08,0.88,0.010000000000000009,0.010000000000000009,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - TRIXIS ,Dubai Land,2026,0.69,0.06,0.73,0.020000000000000018,0.020000000000000018,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - VARDON ,Dubai Land,2026,0.22,0.03,0.25,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - VICTORIA ,Dubai Land,2026,4.23,0.23,4.44,0.020000000000000462,0.020000000000000462,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - VIRIDIS ,Dubai Land,2026,17.61,1.25,18.72,0.14000000000000057,0.14000000000000057,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS (2) - ZINNIA ,Dubai Land,2026,0.9,0.07,0.92,0.04999999999999993,0.04999999999999993,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS - GOLF TERRACE,Dubai Land,2026,12.99,0.58,13.42,0.15000000000000036,0.15000000000000036,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS - JASMINE,Dubai Land,2026,11.76,0.57,12.21,0.11999999999999922,0.11999999999999922,False,True,GT = GF + RF - income (income not in CSV)
DAMAC HILLS - LORETO,Dubai Land,2026,14.79,0.55,15.24,0.09999999999999964,0.09999999999999964,False,True,GT = GF + RF - income (income not in CSV)
DESERT SUN TOWER,Dubai Land,2026,15.06,4.14,19.01,0.18999999999999773,0.18999999999999773,False,True,GT = GF + RF - income (income not in CSV)
DEZIRE RESIDENCES,Jumeirah Village Circle,2026,14.03,1.36,15.39,-1.7763568394002505e-15,1.7763568394002505e-15,True,True,GT = GF + RF - income (income not in CSV)
DOWNTOWN VIEWS,DownTown Dubai,2026,14.65,2.25,16.74,0.16000000000000014,0.16000000000000014,False,True,GT = GF + RF - income (income not in CSV)
DT 1,Burj Khalifa District,2026,19.94,1.41,21.15,0.20000000000000284,0.20000000000000284,False,True,GT = GF + RF - income (income not in CSV)
DUBAI ARCH TOWER,DMCC Master Community,2026,15.66,1.17,16.83,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
DUNES VILLAGE,Dubai Investment Park,2026,15.75,2.69,18.44,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
DURAR1,Dubai Investment Park,2026,5.04,0.09,5.13,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Dorchester Collection Dubai,Business Bay,2026,53.39,0.56,53.95,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ELITE 10 SPORTS RESIDENCE,Dubai Sports City,2023,11.53,0.6,12.13,-1.7763568394002505e-15,1.7763568394002505e-15,True,True,GT = GF + RF - income (income not in CSV)
ELITE 3 SPORTS RESIDENCE,Dubai Sports City,2025,15.63,0.93,16.56,3.552713678800501e-15,3.552713678800501e-15,True,True,GT = GF + RF - income (income not in CSV)
ELITE 4 SPORTS RESIDENCE,Dubai Sports City,2025,14.4,0.99,15.39,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ELITE 5 SPORTS RESIDENCE,Dubai Sports City,2025,14.78,0.96,15.74,-1.7763568394002505e-15,1.7763568394002505e-15,True,True,GT = GF + RF - income (income not in CSV)
ELITE 6 SPORTS RESIDENCE,Dubai Sports City,2025,15.62,0.99,16.61,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ELITE 7 SPORTS RESIDENCE,Dubai Sports City,2025,17.33,1.31,18.64,-3.552713678800501e-15,3.552713678800501e-15,True,True,GT = GF + RF - income (income not in CSV)
ELITE 8 SPORTS RESIDENCE,Dubai Sports City,2025,13.19,0.8,13.99,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ELITE 9 SPORTS RESIDENCE,Dubai Sports City,2025,13.82,1.0,14.82,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ELITE DOWNTAWN RESIDENCE,Burj Khalifa District,2023,11.42,0.65,12.07,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ELITE II SPORTS RESIDENCE,Dubai Sports City,2025,14.06,0.97,15.03,1.7763568394002505e-15,1.7763568394002505e-15,True,True,GT = GF + RF - income (income not in CSV)
ELITE SPORTS RESIDENCE,Dubai Sports City,2026,14.19,0.61,14.8,-1.7763568394002505e-15,1.7763568394002505e-15,True,True,GT = GF + RF - income (income not in CSV)
EMIRATES GARDEN 2 (MAPLE- MAGNOLA - MULBERRY),Jumeirah Village Circle,2018,9.53,0.0,9.6,-0.07000000000000028,0.07000000000000028,False,True,GT = GF + RF - income (income not in CSV)
FAHAD 2,Barsha Heights,2026,13.25,1.28,14.44,0.08999999999999986,0.08999999999999986,False,True,GT = GF + RF - income (income not in CSV)
FRANKFURT SPORTS TOWER I,Dubai Sports City,2026,13.64,1.42,14.78,0.28000000000000114,0.28000000000000114,False,True,GT = GF + RF - income (income not in CSV)
G-TOWER,Jumeirah Village Circle,2026,14.21,0.93,15.14,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
GIOVANNI BOUTIQUE,Dubai Sports City,2026,16.27,0.87,16.93,0.21000000000000085,0.21000000000000085,False,True,GT = GF + RF - income (income not in CSV)
GLITZ RESIDENCE 3,Dubai Studio City,2026,15.64,0.75,16.15,0.240000000000002,0.240000000000002,False,True,GT = GF + RF - income (income not in CSV)
GLOBAL GOLF RESIDENCE 2,Dubai Sports City,2026,10.88,1.02,11.77,0.13000000000000078,0.13000000000000078,False,True,GT = GF + RF - income (income not in CSV)
GLOBAL LAKE VIEW,Jumeirah Lakes Towers,2018,16.27,0.0,16.46,-0.19000000000000128,0.19000000000000128,False,True,GT = GF + RF - income (income not in CSV)
GOLD CREST EXECUTIVE,Jumeirah Lakes Towers,2018,13.74,0.0,13.86,-0.11999999999999922,0.11999999999999922,False,True,GT = GF + RF - income (income not in CSV)
GOLD CREST VIEWS2,Jumeirah Lakes Towers,2018,14.22,0.0,14.62,-0.3999999999999986,0.3999999999999986,False,True,GT = GF + RF - income (income not in CSV)
GOLF LINKS ,Dubai Sports City,2026,17.09,1.27,18.36,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
GOLF TOWER,Dubai Sports City,2026,15.1,1.25,16.35,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
GOLF VIEW RESIDENCE,Dubai Sports City,2026,12.7,1.5,14.2,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
GRAND HORIZON 1,Dubai Sports City,2026,11.75,1.83,13.58,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
GRAND VIEWS,Meydan,2026,2.83,0.16,2.99,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
GRANDEUR RESIDENCES,Palm Jumeirah,2016,21.94,0.0,21.94,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
GREEN COMMUNITY  WEST-  EXTENSION- PHASE III,Dubai Investment Park,2026,22.01,0.78,22.79,3.552713678800501e-15,3.552713678800501e-15,True,True,GT = GF + RF - income (income not in CSV)
Golf Place,Dubai Hills Estate,2026,3.9,0.33,4.23,-8.881784197001252e-16,8.881784197001252e-16,True,True,GT = GF + RF - income (income not in CSV)
HAMENI,Jumeirah Village Circle,2026,13.01,1.27,14.18,0.09999999999999964,0.09999999999999964,False,True,GT = GF + RF - income (income not in CSV)
HAMZA TOWER,Dubai Sports City,2026,13.42,0.32,13.47,0.2699999999999996,0.2699999999999996,False,True,GT = GF + RF - income (income not in CSV)
HARBOUR VIEWS,Dubai Creek Harbour,2026,15.61,1.28,16.82,0.07000000000000028,0.07000000000000028,False,True,GT = GF + RF - income (income not in CSV)
HAWTHORN @ AKOYA OXYGEN,Dubai Land,2026,0.3,0.03,0.31,0.019999999999999962,0.019999999999999962,False,True,GT = GF + RF - income (income not in CSV)
HOCKEY TOWER,Dubai Sports City,2026,15.79,1.25,17.04,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
HUB CANAL 1 TOWER,Dubai Sports City,2026,10.7,0.9,11.6,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
HUB CANAL 2 TOWER,Dubai Sports City,2026,10.68,0.83,11.51,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
HYATI RESIDENCE,Jumeirah Village Circle,2026,4.33,0.35,4.68,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
Hera Tower,Dubai Sports City,2026,15.63,0.66,16.29,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
IMPERIAL,Silicon Oasis,2026,14.45,0.94,14.79,0.5999999999999996,0.5999999999999996,False,True,GT = GF + RF - income (income not in CSV)
INDIGO TOWER,Dubai Land,2026,9.27,1.0,10.27,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
J&G PLEXS,DMCC Master Community,2025,25.57,3.61,29.18,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
JADE RESIDENCE,Silicon Oasis,2026,13.68,1.47,14.85,0.3000000000000007,0.3000000000000007,False,True,GT = GF + RF - income (income not in CSV)
JUMEIRAH LIVING MARINA GATE ,Dubai Marina,2026,21.38,1.16,22.41,0.129999999999999,0.129999999999999,False,True,GT = GF + RF - income (income not in CSV)
JUNIPER @ AKOYA OXYGEN,Dubai Land,2026,4.97,0.33,5.25,0.04999999999999982,0.04999999999999982,False,True,GT = GF + RF - income (income not in CSV)
K1,Dubai Land,2026,17.13,1.87,19.0,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
KEMPINSKI,Palm Jumeirah,2026,22.84,1.18,24.02,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
LA VISITA 02,Dubai Silicon Oasis,2017,8.32,0.0,8.32,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
LADY RATAN MANOR,International City,2017,12.67,0.0,12.67,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
LAGO VISTA,Dubai Production City,2026,12.31,0.45,12.37,0.39000000000000057,0.39000000000000057,False,True,GT = GF + RF - income (income not in CSV)
LAKE SHORE TOWER,Jumeirah Lakes Towers,2017,17.89,0.0,18.29,-0.3999999999999986,0.3999999999999986,False,True,GT = GF + RF - income (income not in CSV)
LAKESIDE,Dubai Production City,2026,15.01,0.42,15.34,0.08999999999999986,0.08999999999999986,False,True,GT = GF + RF - income (income not in CSV)
LATIFA TOWER,Dubai World Trade Centre,2026,7.24,1.0,8.07,0.16999999999999993,0.16999999999999993,False,True,GT = GF + RF - income (income not in CSV)
LE PRESIDIUM,Silicon Oasis,2026,10.68,1.79,11.71,0.759999999999998,0.759999999999998,False,True,GT = GF + RF - income (income not in CSV)
LINCOLN PARK (SHEFFIELD),Dubai Land,2018,10.66,0.0,10.9,-0.2400000000000002,0.2400000000000002,False,True,GT = GF + RF - income (income not in CSV)
LYNX,Silicon Oasis,2026,10.67,1.6,11.99,0.27999999999999936,0.27999999999999936,False,True,GT = GF + RF - income (income not in CSV)
MADA RESIDENCES TOWER,Burj Khalifa District,2026,18.71,2.68,21.38,0.010000000000001563,0.010000000000001563,False,True,GT = GF + RF - income (income not in CSV)
MADISON RESIDENCE,Dubai Land,2026,18.08,0.44,18.22,0.3000000000000007,0.3000000000000007,False,True,GT = GF + RF - income (income not in CSV)
MADISON RESIDENCY,Barsha Heights,2026,13.6,2.46,16.06,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
MAG 5,Dubai South,2026,14.51,3.48,17.72,0.2699999999999996,0.2699999999999996,False,True,GT = GF + RF - income (income not in CSV)
MANHATTAN,Liwan,2026,13.25,2.35,15.6,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
MARQUISE SQUARE TOWER,Business Bay,2026,15.85,1.09,16.85,0.08999999999999986,0.08999999999999986,False,True,GT = GF + RF - income (income not in CSV)
MAY RESIDENCE,Jumeirah Village Circle,2026,20.24,1.05,21.29,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
MIDTOWN - AFNAN,Dubai Production City,2026,17.92,1.42,19.34,3.552713678800501e-15,3.552713678800501e-15,True,True,GT = GF + RF - income (income not in CSV)
MIDTOWN - DANIA,Dubai Production City,2026,18.31,1.47,19.78,-3.552713678800501e-15,3.552713678800501e-15,True,True,GT = GF + RF - income (income not in CSV)
MIDTOWN - MESK,Dubai Production City,2026,18.38,4.25,22.63,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
MIDTOWN - NOOR,Dubai Production City,2026,19.47,3.17,22.64,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
MILLENNIUM ESTATES,Meydan,2026,3.63,0.23,3.86,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
MIRDIF HILLS- JANAYEN AVENUE ,Mirdif,2026,11.57,1.5,13.07,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
MIRDIF HILLS- NASAYEM AVENUE,Mirdif,2026,10.85,1.52,12.37,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
MIRDIF TULIP,Mirdif,2026,12.12,1.05,12.94,0.23000000000000043,0.23000000000000043,False,True,GT = GF + RF - income (income not in CSV)
MON REVE,Burj Khalifa District,2026,19.99,2.15,22.14,-3.552713678800501e-15,3.552713678800501e-15,True,True,GT = GF + RF - income (income not in CSV)
MONTROSE,Dubai Science Park,2026,16.21,1.09,17.08,0.22000000000000242,0.22000000000000242,False,True,GT = GF + RF - income (income not in CSV)
MULBERRY at PARK HEIGHTS,Dubai Hills Estate,2026,16.67,1.46,17.6,0.5300000000000011,0.5300000000000011,False,True,GT = GF + RF - income (income not in CSV)
Madinat Jumeirah Living ,Jumeira Bay,2026,21.96,2.99,24.92,0.030000000000001137,0.030000000000001137,False,True,GT = GF + RF - income (income not in CSV)
Mudon Views,Dubai Land,2026,17.07,2.3,19.2,0.1700000000000017,0.1700000000000017,False,True,GT = GF + RF - income (income not in CSV)
NB RESIDENCES,Pearl Jumeira,2026,37.81,1.96,39.34,0.4299999999999997,0.4299999999999997,False,True,GT = GF + RF - income (income not in CSV)
OAKWOOD RESIDENCY,Dubai Production City,2026,11.09,1.19,12.2,0.08000000000000007,0.08000000000000007,False,True,GT = GF + RF - income (income not in CSV)
OASIS HIGH PARK,Dubai Silicon Oasis,2018,10.74,0.0,10.74,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
OASIS STAR,Silicon Oasis,2026,12.53,0.52,13.05,-1.7763568394002505e-15,1.7763568394002505e-15,True,True,GT = GF + RF - income (income not in CSV)
OASIS TOWER ONE,Dubai Sports City,2026,11.97,1.05,12.75,0.27000000000000135,0.27000000000000135,False,True,GT = GF + RF - income (income not in CSV)
OLYMPIC PARK 3,Dubai Sports City,2026,10.68,0.9,11.58,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
OLYMPIC PARK 4,Dubai Sports City,2026,10.64,1.84,12.19,0.2900000000000009,0.2900000000000009,False,True,GT = GF + RF - income (income not in CSV)
ONE AT PALM JUMEIRAH,Palm Jumeirah,2026,67.99,0.74,68.73,-1.4210854715202004e-14,1.4210854715202004e-14,True,True,GT = GF + RF - income (income not in CSV)
ORCHID RESIDENCE,Dubai Science Park,2026,13.83,2.33,16.16,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ORION BUILDING,Arjan,2026,9.57,0.89,10.46,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
ORRA MARINA,Dubai Marina,2018,9.84,0.0,9.84,0.0,0.0,True,True,GT = GF + RF - income (income not in CSV)
PANORAMA,The Greens,2026,16.12,1.66,17.67,0.10999999999999943,0.10999999999999943,False,True,GT = GF + RF - income (income not in CSV)
